Isomap1,Isomap2,Macro_Desastre
-0.0015201132939121759,0.006608556402161826,Inundações e Chuvas
-0.00033798395844684346,0.005856088867061523,Tempestades Severas
-0.002418455005571827,0.006717460318564513,Tempestades Severas
0.02941461366539437,0.006271402333553974,Tempestades Severas
-0.0040504790966094375,0.005518511718619486,Seca e Estiagem
-0.0034444026046397793,0.005945906218314252,Seca e Estiagem
-0.0026375163986676995,0.00657917697235983,Seca e Estiagem
-0.1645350334451386,-0.15762024519059575,Seca e Estiagem
-0.02763151958814646,-0.017872211629848783,Seca e Estiagem
-0.011497688613525691,-0.00017602136265401993,Seca e Estiagem
-0.005167899138996552,0.019282016589597654,Inundações e Chuvas
-0.006975352166253464,0.006277991646342622,Seca e Estiagem
-0.002635810267489571,0.005729412058067037,Inundações e Chuvas
-0.006765283480057147,0.003243168705307667,Seca e Estiagem
-0.022899319357772417,-0.012792500999190716,Seca e Estiagem
-0.006610498072789924,0.0034576057351407598,Seca e Estiagem
-0.0021736409160269766,0.006616874738356861,Inundações e Chuvas
-0.10805431174154644,-0.10257088691389725,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Seca e Estiagem
-0.02492836665990953,-0.011800420791718034,Seca e Estiagem
-0.0025927108225131624,0.0065931492093919105,Inundações e Chuvas
0.14624162571917226,-0.04005440847954024,Inundações e Chuvas
-0.010391887283604106,0.0014135638706077977,Seca e Estiagem
0.003373786280156086,0.005839470074118135,Inundações e Chuvas
-0.0756565931431051,-0.07096807208458107,Seca e Estiagem
-0.0031166101196700127,0.006456199500002322,Seca e Estiagem
0.0001017961932224184,0.006675377756403484,Inundações e Chuvas
-0.0014896965974377035,0.006744830283998144,Seca e Estiagem
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
0.026636327549870192,0.0034714587452443074,Inundações e Chuvas
-0.00525372918622129,0.00820697954951875,Incêndios Florestais
-0.0024184074818533225,0.006717451454591917,Inundações e Chuvas
0.01233586745702919,-0.004903602439544722,Inundações e Chuvas
-0.0027594308046578523,0.006489782936753116,Seca e Estiagem
-0.0032190618876213654,0.008547444698090559,Inundações e Chuvas
-0.024449507526992292,-0.02149070393757594,Seca e Estiagem
