PCA1,PCA2,Macro_Desastre
0.017714399106535238,-0.010350310666235773,Inundações e Chuvas
-0.013207501407398577,-0.013216499646212153,Inundações e Chuvas
-0.014309027761006428,-0.010541543103978278,Seca e Estiagem
-0.014066797967852967,-0.013291156545886628,Seca e Estiagem
-0.015667490933421797,0.0037565085818864995,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014085323453660401,-0.01307328909734195,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Tempestades Severas
-0.01477652715301317,-0.005254691609211201,Seca e Estiagem
-0.014071115712221196,-0.013304225391183689,Inundações e Chuvas
-0.01418248866431863,-0.011979770053988183,Seca e Estiagem
-0.014072825922955926,-0.0132854248687856,Inundações e Chuvas
0.0030172055746202995,-0.004530644639763874,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
0.007790534681465186,-0.010692102143742997,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.00792813106010986,-0.012625463484085787,Inundações e Chuvas
-0.014625256873436654,-0.007032355483022296,Seca e Estiagem
-0.01418631813855467,-0.011919718753810614,Seca e Estiagem
-0.012856178524245287,-0.013244015757274234,Inundações e Chuvas
-0.012292516108049142,-0.013134941347408852,Inundações e Chuvas
0.06907091807404556,-0.0026186688023746504,Inundações e Chuvas
-0.014071157907812576,-0.0133042773954507,Deslizamentos
-0.014170047402276422,-0.01234209107480724,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014309648232734007,-0.010595489376691546,Seca e Estiagem
-0.015528262355494118,0.0025964954756145103,Seca e Estiagem
-0.014236193278799686,-0.011375908938308433,Seca e Estiagem
-0.014111580013548434,-0.012874125430244911,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.0142201768908236,-0.011553359956887992,Seca e Estiagem
-0.013736207295024465,-0.013099033058042728,Incêndios Florestais
-0.011063814460862515,-0.013008350761178233,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.01407201145038026,-0.013294875208167693,Incêndios Florestais
-0.014022399517016138,-0.013299322395768661,Tempestades Severas
-0.014022412019413585,-0.013299337804440368,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.00574989545333305,-0.012006436141309477,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014104673727036927,-0.012905373430801398,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014407588218420064,-0.009444415148182228,Seca e Estiagem
-0.010664484919278287,-0.012955992750748997,Tempestades Severas
-0.010695503421623674,-0.012581154594451598,Inundações e Chuvas
0.1763747534013682,0.006170337507952844,Tempestades Severas
-0.016201437349994102,0.009143110828559568,Seca e Estiagem
0.02622887014355526,-0.009344588320381384,Inundações e Chuvas
-0.013767892410930783,-0.013303692115166,Inundações e Chuvas
-0.013267551782803168,-0.013222168238087967,Tempestades Severas
-0.014053754083549655,-0.013303737220882085,Deslizamentos
-0.013131569422970146,-0.004449604130792014,Inundações e Chuvas
-0.014391110793231162,-0.008157133048941785,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
0.09148253858613947,-0.006438394824314558,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.013450752914485348,-0.013003223838628604,Seca e Estiagem
-0.014069952989258715,-0.013302792384714929,Seca e Estiagem
-0.014097211023799206,-0.01305088989387724,Seca e Estiagem
-0.014061605613134256,-0.013292338583684732,Seca e Estiagem
-0.014070075472187128,-0.013302779373362763,Seca e Estiagem
-0.07595723082034851,0.6844386880739144,Seca e Estiagem
-0.014139979587018498,-0.012487906987967277,Seca e Estiagem
-0.012988560256281943,-0.013190335908634965,Inundações e Chuvas
-0.014043375091828713,-0.01326970422767008,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014065081789521467,-0.01330418946886241,Inundações e Chuvas
-0.013389842063701887,-0.01323464357951792,Tempestades Severas
-0.014067274350605903,-0.013299491076801685,Seca e Estiagem
-0.005515406890785725,-0.012429554011880492,Inundações e Chuvas
-0.014104673727036927,-0.012905373430801398,Seca e Estiagem
-0.01482380672457498,-0.006203078246208418,Seca e Estiagem
-0.008382287264123899,-0.012720238327958325,Inundações e Chuvas
-0.014123037254162323,-0.012705188547887596,Seca e Estiagem
0.02959815902003344,-0.009075932525670318,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.013730505455556114,-0.013269467228778182,Tempestades Severas
-0.014194340770637578,-0.011870314693034916,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.013888694219742542,-0.003702006587260045,Inundações e Chuvas
-0.01406463134765938,-0.013296123011098431,Seca e Estiagem
-0.020515126985865495,0.059273613590470946,Seca e Estiagem
0.027213511163199748,-0.009083517656686288,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.018001886845822532,0.03107469818953426,Seca e Estiagem
-0.013644795799615039,-0.013263024863295534,Inundações e Chuvas
-0.01417217389160327,-0.01215650888425711,Seca e Estiagem
