NCA1,NCA2,Macro_Desastre
-128252.73406636834,13047.065720334635,Tempestades Severas
-67412.06109571764,82642.21977894442,Tempestades Severas
-147003.08771984282,8356.192649187708,Seca e Estiagem
-138545.36876148265,10594.749232023583,Seca e Estiagem
-130040.19490455693,12828.251253011196,Seca e Estiagem
-857659.1244435677,-351819.3409643583,Seca e Estiagem
-369123.6301731637,-68330.63121856593,Seca e Estiagem
-222575.0525658481,-13908.092960279053,Seca e Estiagem
-20332.112392707255,53036.72266124695,Inundações e Chuvas
-191531.4564941436,35375.3630129525,Seca e Estiagem
-19124.173872415056,-14090.736648413342,Inundações e Chuvas
-152246.91885516528,4014.5411139267544,Seca e Estiagem
-217862.18924682302,-29978.37755002062,Seca e Estiagem
-154942.91669399748,4663.409603393308,Seca e Estiagem
-121508.73738272743,16302.022468202764,Inundações e Chuvas
-616277.9430881188,-230162.1137055595,Seca e Estiagem
-128253.59950405508,13046.842531782673,Seca e Estiagem
-274590.50132682704,21640.652947433075,Seca e Estiagem
-129529.73907584211,12890.705904088762,Inundações e Chuvas
1032201.9560861107,309555.32631885813,Inundações e Chuvas
-231500.08279239724,-10695.801223612943,Seca e Estiagem
-122660.94283103709,12655.072674711411,Inundações e Chuvas
-473923.7158845515,-159880.34811319356,Seca e Estiagem
-136973.7128424045,11282.766675710023,Seca e Estiagem
-114720.2627463125,10586.60291531576,Inundações e Chuvas
-113820.16664631,61571.64321884466,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
16474.815636195653,-1100.9340549785504,Inundações e Chuvas
-116701.1105750786,6325.666040537043,Incêndios Florestais
-128253.59950405508,13046.842531782673,Inundações e Chuvas
149049.45481994606,50073.92955001555,Inundações e Chuvas
-131068.76339941728,12702.405131089903,Seca e Estiagem
-117265.01707586194,15909.633633145158,Inundações e Chuvas
-259020.86279581036,-51371.28912384274,Seca e Estiagem
-92175.6096260937,88.89953027809193,Inundações e Chuvas
-130561.04540190034,12501.5959007103,Seca e Estiagem
