T-SNE1,T-SNE2,Macro_Desastre
51.25273,1.2699801,Inundações e Chuvas
-11.197113,-15.209993,Seca e Estiagem
37.577316,36.722134,Inundações e Chuvas
20.358059,-25.12617,Seca e Estiagem
-43.866344,-8.734453,Seca e Estiagem
-62.31989,-17.276205,Seca e Estiagem
-41.09345,24.708487,Seca e Estiagem
15.967327,6.811638,Inundações e Chuvas
-23.749006,43.33129,Seca e Estiagem
19.750307,-25.364567,Incêndios Florestais
12.180231,12.358733,Inundações e Chuvas
21.4326,1.5785853,Inundações e Chuvas
-12.020018,-15.777803,Seca e Estiagem
35.929165,2.5419393,Inundações e Chuvas
-57.52127,-12.920482,Seca e Estiagem
28.643366,1.5932865,Tempestades Severas
17.147684,-22.639887,Seca e Estiagem
-21.581484,20.816864,Seca e Estiagem
18.665634,-25.27195,Incêndios Florestais
10.611631,23.800978,Inundações e Chuvas
20.296936,-25.127108,Incêndios Florestais
-24.358809,37.982216,Seca e Estiagem
18.098417,-25.027761,Seca e Estiagem
42.546516,32.980984,Inundações e Chuvas
17.860607,40.4544,Inundações e Chuvas
17.50953,-26.193644,Tempestades Severas
-8.332779,26.796278,Seca e Estiagem
-8.5056925,-3.7955348,Seca e Estiagem
-65.32513,-29.721212,Seca e Estiagem
18.939634,-25.933344,Deslizamentos
13.896864,12.461173,Inundações e Chuvas
-25.53432,-2.9546258,Seca e Estiagem
-35.127567,11.362695,Seca e Estiagem
-53.591003,-11.135616,Seca e Estiagem
4.630917,13.634234,Inundações e Chuvas
27.822548,-12.624826,Inundações e Chuvas
-4.8747964,28.229706,Inundações e Chuvas
22.095802,-25.121973,Inundações e Chuvas
22.21614,-24.567102,Tempestades Severas
17.450567,-25.892803,Incêndios Florestais
-34.27016,25.769115,Seca e Estiagem
-33.824406,12.544212,Seca e Estiagem
18.607765,-26.211718,Incêndios Florestais
18.748491,-25.964746,Tempestades Severas
18.530779,-26.338528,Seca e Estiagem
-54.27707,4.7271037,Seca e Estiagem
22.008606,-25.120403,Seca e Estiagem
18.476957,-26.342367,Deslizamentos
17.435463,26.075407,Inundações e Chuvas
36.051517,-3.4504113,Inundações e Chuvas
-66.506096,-27.277136,Seca e Estiagem
24.955364,34.877563,Inundações e Chuvas
20.021242,-25.275331,Seca e Estiagem
-2.233603,-23.098156,Seca e Estiagem
-64.051155,-16.185892,Inundações e Chuvas
-55.59775,5.008801,Seca e Estiagem
43.964165,3.5895283,Incêndios Florestais
17.77727,-25.360483,Deslizamentos
18.16205,-25.774593,Inundações e Chuvas
17.203842,-26.834314,Incêndios Florestais
-28.136656,38.797493,Seca e Estiagem
43.001667,-4.0913906,Tempestades Severas
4.354188,11.56904,Inundações e Chuvas
43.60176,-3.5766203,Tempestades Severas
-21.198223,-11.393947,Seca e Estiagem
-37.311707,-8.144386,Seca e Estiagem
42.075855,-3.84802,Inundações e Chuvas
-9.046414,5.21847,Seca e Estiagem
-36.385136,9.512601,Seca e Estiagem
22.676043,-24.800705,Inundações e Chuvas
-22.239767,-4.6738615,Seca e Estiagem
47.093826,10.289919,Inundações e Chuvas
21.726698,-25.085535,Incêndios Florestais
9.611786,4.387835,Inundações e Chuvas
-8.692615,-8.188195,Incêndios Florestais
-17.916607,18.534023,Seca e Estiagem
-15.948109,-10.142092,Seca e Estiagem
16.508694,5.4200377,Inundações e Chuvas
-48.422752,-6.664527,Seca e Estiagem
25.275274,23.725504,Tempestades Severas
35.14191,26.156244,Tempestades Severas
-13.724578,11.472228,Seca e Estiagem
43.151524,32.726982,Tempestades Severas
17.728094,-25.642828,Inundações e Chuvas
8.194074,-16.677986,Tempestades Severas
17.918135,-27.403406,Inundações e Chuvas
33.31681,22.787296,Tempestades Severas
-22.715485,42.913292,Seca e Estiagem
17.301397,-26.442898,Inundações e Chuvas
17.926514,-26.119791,Incêndios Florestais
18.722998,41.19103,Tempestades Severas
22.586157,-25.250511,Seca e Estiagem
14.562041,-0.39419642,Seca e Estiagem
5.325281,10.563456,Inundações e Chuvas
12.192195,42.553673,Inundações e Chuvas
12.676861,9.075704,Inundações e Chuvas
16.722628,36.597218,Inundações e Chuvas
13.139088,-17.590769,Tempestades Severas
-49.340076,-0.05475268,Seca e Estiagem
19.033815,-16.3119,Inundações e Chuvas
-5.604827,-19.765947,Seca e Estiagem
11.219278,8.6284075,Inundações e Chuvas
-35.593285,-9.414839,Seca e Estiagem
-50.058994,-8.814363,Seca e Estiagem
4.579563,13.681926,Inundações e Chuvas
-44.08956,-0.42002958,Seca e Estiagem
24.579103,33.99973,Inundações e Chuvas
22.844906,10.302461,Inundações e Chuvas
18.119902,-26.923574,Inundações e Chuvas
40.362328,35.68736,Inundações e Chuvas
-49.151222,4.0442567,Seca e Estiagem
-3.7745905,28.756083,Tempestades Severas
18.24953,-26.712765,Incêndios Florestais
49.832577,1.0383502,Tempestades Severas
18.272402,-26.580153,Inundações e Chuvas
18.173801,-26.798197,Incêndios Florestais
-18.87206,21.907677,Seca e Estiagem
