LLE1,LLE2,Macro_Desastre
0.012314829940857742,-0.011816019458049519,Tempestades Severas
0.012925836324629228,-0.012008247646688806,Tempestades Severas
0.012314849964172326,-0.011816147313179114,Seca e Estiagem
0.012315042920203925,-0.01181608449480694,Seca e Estiagem
0.012315164540774283,-0.01181600422270849,Seca e Estiagem
0.012314598973287178,-0.011815976550205625,Seca e Estiagem
0.012315397209112075,-0.011816490327739066,Seca e Estiagem
0.0123153154748335,-0.011816349326769672,Seca e Estiagem
0.01240953026470006,-0.011730251277383119,Inundações e Chuvas
0.011374497940356328,-0.012912807402880795,Seca e Estiagem
0.012230848308455698,-0.011826644581035915,Inundações e Chuvas
0.01231496171487412,-0.011816101924037661,Seca e Estiagem
0.012315047236508177,-0.011816153418037607,Seca e Estiagem
0.012314969087348263,-0.01181615251103123,Seca e Estiagem
0.012307378231062146,-0.011816835331891547,Inundações e Chuvas
0.012314757714234743,-0.011816063372205697,Seca e Estiagem
0.012314829940866549,-0.011816019458029353,Seca e Estiagem
0.012315150833138033,-0.011816275846093701,Seca e Estiagem
0.01231516068324169,-0.011815989402833781,Inundações e Chuvas
0.011619519230741279,-0.012322862930364675,Inundações e Chuvas
0.012315317373096919,-0.011816421790451942,Seca e Estiagem
0.012550266096784066,-0.01166327148090026,Inundações e Chuvas
0.012314837166883523,-0.011816104022678662,Seca e Estiagem
0.012314927098170373,-0.011816097032443554,Seca e Estiagem
0.012275005516805635,-0.011825343327267505,Inundações e Chuvas
0.00977017497381265,-0.012428602705119344,Seca e Estiagem
0.012314829940866549,-0.011816019458029353,Inundações e Chuvas
0.012203638868569079,-0.012129553380874361,Inundações e Chuvas
0.012314747976189547,-0.01181608105346384,Incêndios Florestais
0.01231482994086655,-0.011816019458029344,Inundações e Chuvas
0.012514314537043906,-0.012081700396726342,Inundações e Chuvas
0.012315136007818389,-0.011816044205434735,Seca e Estiagem
0.012314827654363642,-0.011816021909776094,Inundações e Chuvas
0.012314943382059707,-0.011816143066739703,Seca e Estiagem
0.012224379744835786,-0.011826749425576141,Inundações e Chuvas
0.012315018664155379,-0.011816016991509352,Seca e Estiagem
0.012314829940866556,-0.011816019458029335,Seca e Estiagem
0.012205270525544112,-0.011838823415589736,Inundações e Chuvas
0.012314829940866542,-0.011816019458029367,Tempestades Severas
0.012314829940866549,-0.011816019458029353,Incêndios Florestais
0.01245730000633392,-0.011632052239368088,Tempestades Severas
0.01231482994086656,-0.011816019458029322,Seca e Estiagem
0.013038989206299843,-0.010592484937922695,Inundações e Chuvas
0.01231501882392598,-0.011816021190463847,Seca e Estiagem
0.03040359526601751,0.0055814464102261025,Inundações e Chuvas
0.012314829940866549,-0.011816019458029353,Seca e Estiagem
0.01231498285305487,-0.01181615414451566,Seca e Estiagem
