NCA1,NCA2,Macro_Desastre
-341.35876066908133,-95.23299943073941,Seca e Estiagem
62.91256377199611,-16.732209367646192,Inundações e Chuvas
-68.90255210271742,-31.5652198435834,Seca e Estiagem
-75.72001089086098,-36.67482167462274,Tempestades Severas
453.4898365331147,-436.6528538013051,Tempestades Severas
1321.3440180643006,467.3728619804004,Inundações e Chuvas
12076.876919230683,1933.5528458357835,Inundações e Chuvas
0.0,0.0,Seca e Estiagem
43.24374538271735,-13.484231391230834,Inundações e Chuvas
54.94024635448857,30.25674314028932,Tempestades Severas
0.00688719068093133,0.0011474572617639447,Tempestades Severas
1806.158179994912,242.8894080993546,Tempestades Severas
-213.8351350218244,-65.29509844062633,Seca e Estiagem
-131.52505273674333,-43.06070649160006,Seca e Estiagem
-10.600801524720538,-5.134475034447184,Seca e Estiagem
-26741.532876527242,-9175.755357886299,Seca e Estiagem
-4763.481653555918,-1415.4435618080845,Seca e Estiagem
-1383.8641089168584,-356.34118508004383,Seca e Estiagem
1305.7021720861044,59.46872601689881,Inundações e Chuvas
-549.0400262119344,-189.1281326200837,Seca e Estiagem
780.0178815095259,-131.1043150194989,Inundações e Chuvas
-597.8328376849782,-197.41265101015912,Seca e Estiagem
-3149.8291142511066,-1089.058438388471,Seca e Estiagem
-548.4495654332079,-194.54907802012582,Seca e Estiagem
46.67720803130489,-4.852141044653193,Inundações e Chuvas
-17822.009811249653,-6119.060495384734,Seca e Estiagem
0.0,0.0,Seca e Estiagem
-3207.6350009466582,-947.2098893942009,Seca e Estiagem
-7.572001089086098,-3.667482167462274,Inundações e Chuvas
19039.997122956363,3544.856378416936,Inundações e Chuvas
-1139.3004364457242,-312.4141105791025,Seca e Estiagem
136.6907604894104,48.34891675659315,Inundações e Chuvas
-12660.620785247267,-4340.214281504156,Seca e Estiagem
-54.65527909260875,-14.25541341200213,Seca e Estiagem
123.50055422871168,-38.5520477786889,Inundações e Chuvas
232.933213244256,-114.0892494905812,Seca e Estiagem
0.0,0.0,Inundações e Chuvas
2382.001362997594,613.4854076095772,Inundações e Chuvas
71.74221310431683,-101.22500131077389,Incêndios Florestais
0.0,0.0,Inundações e Chuvas
2975.359772488452,643.1710548065199,Inundações e Chuvas
-16.70383440252393,-8.090465661421776,Seca e Estiagem
203.7625152700765,27.39580410432993,Inundações e Chuvas
-4700.801271359342,-1611.1321817700787,Seca e Estiagem
