LDA1,LDA2,Macro_Desastre
0.16024930703168216,-0.588154652645895,Inundações e Chuvas
0.023277533439568232,0.006548564540796501,Inundações e Chuvas
6.480839966093383,-3.743419582768992,Inundações e Chuvas
-0.14800577904970375,0.07939063570963023,Tempestades Severas
-0.2917962020365065,-0.054713393793383046,Seca e Estiagem
-0.1470042488166361,0.08005321040869348,Inundações e Chuvas
-0.147580237674297,0.07849614328859905,Seca e Estiagem
-0.008484096584546233,-0.016214025008051105,Inundações e Chuvas
-0.20291598511052622,0.03352946479499184,Seca e Estiagem
-0.35283750723374946,-0.08995131420604204,Seca e Estiagem
0.14935015295345083,-0.06518595183094657,Inundações e Chuvas
-0.25488924459560997,-0.011595640063259546,Seca e Estiagem
