Isomap1,Isomap2,Macro_Desastre
-0.14725151212097753,-0.056498210282392505,Seca e Estiagem
-0.15608015253256186,-0.06482928763640058,Tempestades Severas
0.6312176969519832,0.14915748454215647,Tempestades Severas
0.1346398714664439,0.08614253789850122,Inundações e Chuvas
5.488467430537836,-0.35311121500408765,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Seca e Estiagem
-0.10135018781576849,-0.007159424180540562,Inundações e Chuvas
-0.08255726055245932,-0.0010685484912782795,Tempestades Severas
-0.10630953324952226,-0.015301376172044736,Tempestades Severas
0.6180810424763566,0.1410844314193165,Tempestades Severas
-0.15926911921397863,-0.04085875502507666,Seca e Estiagem
-0.12529714383668034,-0.033518384667680284,Seca e Estiagem
-0.10946503873213705,-0.02171453637404226,Seca e Estiagem
-1.9970649429182563,-0.4014874040759407,Seca e Estiagem
-0.5679111664150437,-0.1072324391734777,Seca e Estiagem
-0.3274996499947326,-0.07536870692106146,Seca e Estiagem
-0.0064504561416039805,0.22867462109906642,Inundações e Chuvas
-0.320739627877851,-0.17119637424621617,Seca e Estiagem
0.06003828227802918,-0.0012625682454338106,Inundações e Chuvas
-0.15775777205643873,-0.026786630819216825,Seca e Estiagem
-0.30164202765906256,-0.06911996031949602,Seca e Estiagem
-0.17925277119659538,-0.05423758365568195,Seca e Estiagem
-0.09483741554163193,-0.03861002195606566,Inundações e Chuvas
-1.416008658160689,-0.3507494744798737,Seca e Estiagem
-0.10630841211724427,-0.015301321296025931,Seca e Estiagem
-0.41802355979349526,-0.05851330789420765,Seca e Estiagem
-0.10947116582643719,-0.01940519446142481,Inundações e Chuvas
1.1936092681854533,0.06804335347460735,Inundações e Chuvas
-0.33521538343432006,-0.06737514571088878,Seca e Estiagem
-0.07263798465831943,-0.0069570369209119645,Inundações e Chuvas
-1.021199368077387,-0.3714564899581626,Seca e Estiagem
-0.13229734456650788,-0.031232224975181248,Seca e Estiagem
-0.0993173360503721,0.009640083978011202,Inundações e Chuvas
-0.02909479354021758,-0.12146253928874186,Seca e Estiagem
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
0.19916686107313541,0.006033357237922731,Inundações e Chuvas
-0.18868200493574594,-0.03242406202140022,Incêndios Florestais
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
0.2282319427986077,0.006801692653368337,Inundações e Chuvas
-0.11107221730061861,-0.026328582091773887,Seca e Estiagem
-0.1200787890386172,0.022628629247066177,Inundações e Chuvas
-0.39074438393339606,-0.12203026063205578,Seca e Estiagem
