T-SNE1,T-SNE2,Macro_Desastre
-17.55194,47.55402,Seca e Estiagem
-7.6802773,4.7860675,Seca e Estiagem
31.96368,3.7689579,Inundações e Chuvas
-18.021467,-33.211735,Seca e Estiagem
-31.330727,-2.6462102,Seca e Estiagem
-21.543743,-25.762468,Seca e Estiagem
-32.00963,35.420002,Seca e Estiagem
-32.192562,-7.190152,Seca e Estiagem
31.058916,9.392619,Inundações e Chuvas
-32.970352,1.687936,Seca e Estiagem
3.9246037,-21.574043,Inundações e Chuvas
-25.30147,-31.366726,Tempestades Severas
12.532301,31.704565,Incêndios Florestais
16.081743,16.626968,Inundações e Chuvas
11.172465,6.1118917,Inundações e Chuvas
45.676636,-10.826256,Inundações e Chuvas
17.152943,-10.987116,Inundações e Chuvas
-15.099857,49.83551,Seca e Estiagem
48.30166,-7.5883703,Inundações e Chuvas
11.841527,-7.4186106,Inundações e Chuvas
11.401299,-28.702843,Inundações e Chuvas
34.20791,-3.1165385,Inundações e Chuvas
-30.600676,-13.85058,Seca e Estiagem
-54.313404,-19.647963,Seca e Estiagem
-46.243347,13.267747,Seca e Estiagem
12.525777,31.818056,Incêndios Florestais
-16.231695,-22.199598,Seca e Estiagem
12.685939,31.30137,Tempestades Severas
-33.789925,6.8467793,Seca e Estiagem
-0.074874215,14.353675,Inundações e Chuvas
-21.617506,-19.839819,Seca e Estiagem
5.1117005,24.622452,Inundações e Chuvas
9.538318,-43.3323,Seca e Estiagem
12.992122,32.30594,Incêndios Florestais
31.240864,-18.074537,Inundações e Chuvas
18.965704,31.3327,Inundações e Chuvas
12.678098,32.755238,Inundações e Chuvas
30.195911,-14.691542,Inundações e Chuvas
-33.901245,1.9048712,Seca e Estiagem
-21.923534,-15.47242,Seca e Estiagem
19.5936,-6.870798,Inundações e Chuvas
35.389957,-4.969847,Inundações e Chuvas
11.998208,-27.444418,Inundações e Chuvas
1.2848665,16.030493,Deslizamentos
-47.067398,-2.8192847,Seca e Estiagem
12.94294,32.391342,Seca e Estiagem
12.443517,32.403397,Inundações e Chuvas
12.773798,32.774532,Inundações e Chuvas
-29.862726,-11.52092,Seca e Estiagem
-44.543888,13.700751,Seca e Estiagem
-25.632177,-17.51147,Seca e Estiagem
-14.949127,-10.2580385,Seca e Estiagem
12.695814,33.11035,Incêndios Florestais
-25.479202,-17.83723,Seca e Estiagem
4.2781205,-13.912617,Incêndios Florestais
35.03094,-6.9456844,Inundações e Chuvas
12.704792,33.372623,Inundações e Chuvas
12.725196,33.535248,Inundações e Chuvas
5.9823637,25.115896,Incêndios Florestais
30.620304,12.487766,Tempestades Severas
30.602655,12.500488,Inundações e Chuvas
12.775289,33.942932,Tempestades Severas
12.875037,34.28331,Incêndios Florestais
16.18335,33.388428,Inundações e Chuvas
4.9597235,-15.238885,Tempestades Severas
